delivery or takeout,Grubhub enabled,Call To Action enabled,Request a Quote Enabled,Covid Banner,Temporary Closed Until,stars,review_count,is_closed_2021,curbside_drop_off_during_covid_19,takeout_during_covid_19,drive_thru_during_covid_19,delivery_during_covid_19,mobile_services_during_covid_19
False,False,False,False,False,False,3.5,3,False,False,False,False,False,False
True,True,True,False,True,False,2.5,11,False,False,False,True,True,False
True,True,True,False,False,False,2.0,58,False,False,False,False,False,False
True,False,True,False,False,False,3.0,16,False,False,False,False,False,False
True,False,True,False,False,False,3.5,10,False,False,False,False,False,False
True,False,True,False,False,False,2.0,13,False,False,False,False,False,False
True,False,True,False,False,False,2.5,50,False,False,False,False,False,False
True,True,False,False,False,False,3.0,6,False,False,False,False,False,False
True,False,True,False,True,False,3.0,16,False,False,True,False,True,False
True,True,False,False,False,False,4.5,68,False,False,False,False,False,False
True,False,True,False,False,False,1.5,29,False,False,False,False,False,False
True,True,True,False,True,False,1.5,32,False,False,False,False,False,False
True,True,False,False,False,False,2.5,26,False,False,False,False,False,False
True,True,True,False,False,False,2.5,8,False,False,False,False,False,False
True,False,False,False,False,False,4.0,3,False,False,False,False,False,False
False,False,False,False,False,False,4.5,3,True,False,False,False,False,False
True,True,True,False,False,False,1.0,13,False,False,False,False,False,False
True,True,False,False,False,False,2.0,36,False,False,False,False,False,False
True,False,True,False,False,False,3.0,24,False,False,False,False,False,False
True,False,True,False,False,False,4.5,81,False,False,False,False,False,False
True,True,True,False,True,False,2.0,97,False,False,True,False,True,False
True,True,False,False,False,False,4.0,43,False,False,False,False,False,False
True,False,True,False,True,False,2.5,221,False,False,True,False,True,False
True,False,True,False,True,False,3.5,464,False,False,False,True,True,False
True,False,True,False,False,False,3.5,29,False,False,False,False,False,False
True,False,True,False,False,False,1.5,73,False,False,False,False,False,False
True,False,True,False,False,False,2.5,5,False,False,False,False,False,False
True,False,True,False,False,False,4.0,22,False,False,False,False,False,False
True,False,False,False,False,False,2.5,3,False,False,False,False,False,False
True,True,True,False,True,False,1.5,26,False,False,False,True,True,False
True,False,True,False,False,False,2.5,6,False,False,True,False,False,False
False,False,False,False,False,False,2.0,3,False,False,False,False,False,False
True,False,True,False,False,False,2.0,12,False,False,False,False,False,False
True,False,False,False,False,False,3.0,5,False,False,False,False,False,False
True,False,False,False,False,False,4.0,4,False,False,False,False,False,False
True,True,True,False,False,False,3.0,10,False,False,False,False,False,False
True,False,False,False,False,False,1.5,3,False,False,False,False,False,False
True,True,True,False,False,False,3.0,4,False,False,False,False,False,False
True,False,False,False,False,False,1.0,16,False,False,False,False,False,False
True,False,True,False,False,False,2.5,13,False,False,False,False,False,False
True,False,True,False,False,False,4.0,39,False,False,False,False,False,False
True,False,False,False,False,False,5.0,85,False,False,False,False,False,False
True,False,True,False,False,False,1.5,125,False,False,False,False,False,False
True,False,True,False,False,False,2.0,36,False,True,True,True,False,False
True,False,True,False,False,False,1.5,40,False,False,False,False,False,False
True,True,True,False,False,False,3.0,30,True,False,False,False,False,False
True,True,True,False,False,False,3.5,11,False,False,True,False,False,False
True,True,True,False,False,False,4.0,137,True,False,False,False,False,False
True,False,False,False,False,False,3.0,10,False,False,False,False,False,False
True,False,True,False,False,False,2.0,3,False,False,False,False,False,False
True,False,False,False,False,False,4.0,135,False,False,False,False,False,False
True,True,True,False,False,False,4.0,7,False,False,True,False,True,False
True,False,True,False,False,False,2.5,73,False,False,False,False,False,False
True,True,True,False,False,False,3.0,24,False,False,False,False,False,False
True,False,True,False,False,False,2.5,27,False,False,False,False,False,False
True,False,True,False,False,False,2.5,17,False,False,False,False,False,False
True,False,True,False,False,False,2.0,39,False,False,False,False,False,False
True,True,False,False,False,False,5.0,8,False,False,False,False,False,False
True,True,True,False,False,False,2.5,12,False,False,False,False,False,False
True,False,True,False,False,False,3.0,71,False,False,False,False,False,False
True,False,False,False,False,False,3.0,18,False,False,False,False,False,False
True,True,False,False,False,False,4.5,112,False,False,False,False,False,False
True,True,True,False,False,False,3.5,100,False,False,True,False,True,False
True,False,False,False,False,False,4.0,9,False,False,False,False,False,False
True,False,True,False,False,False,1.5,33,False,False,False,False,False,False
True,False,True,False,True,False,1.0,3,False,False,False,True,True,False
True,False,False,False,False,False,2.5,3,False,False,False,False,False,False
True,False,False,False,False,False,2.0,3,False,False,False,False,False,False
True,False,False,False,False,False,3.0,8,False,False,False,False,False,False
True,False,False,False,False,False,2.5,3,False,False,False,False,False,False
True,False,False,False,False,False,3.0,4,False,False,False,False,False,False
True,True,True,False,False,False,2.5,14,False,False,False,False,False,False
True,True,True,False,True,False,2.0,10,False,False,False,False,False,False
True,False,True,False,False,False,2.5,9,False,False,False,False,False,False
True,True,False,False,False,False,3.0,22,False,False,False,False,False,False
True,True,False,False,False,False,1.5,11,False,False,False,False,False,False
True,False,False,False,False,False,3.5,3,True,False,False,False,False,False
True,False,False,False,False,False,4.0,8,False,False,False,False,False,False
True,False,False,False,False,False,3.5,20,False,False,False,False,False,False
False,False,False,False,False,False,2.0,4,False,False,False,False,False,False
True,False,True,False,False,False,3.0,9,False,False,True,False,True,False
True,False,False,False,False,False,3.0,3,False,False,False,False,False,False
True,True,True,False,False,False,2.5,3,False,False,False,False,False,False
True,False,True,False,False,False,2.5,3,False,False,False,False,False,False
True,False,False,False,False,False,1.0,3,False,False,False,False,False,False
True,True,True,False,False,False,1.5,3,False,False,False,False,False,False
True,False,True,False,True,False,1.5,13,False,False,False,False,False,False
True,True,False,False,True,False,4.0,23,False,False,False,False,False,False
True,False,False,False,False,False,2.5,21,False,False,False,False,False,False
True,True,True,False,False,False,4.0,123,False,False,True,False,True,False
True,False,False,False,False,False,4.0,9,False,False,False,False,False,False
True,True,True,False,False,False,2.0,13,False,False,False,False,False,False
True,True,False,False,False,False,2.0,30,False,False,False,False,False,False
True,False,False,False,False,False,1.5,3,False,False,False,False,False,False
True,False,True,False,False,False,2.0,3,False,False,False,False,False,False
True,False,False,False,False,False,3.5,3,False,False,False,False,False,False
True,False,False,False,False,False,3.0,4,False,False,False,False,False,False
True,False,False,False,False,False,2.5,3,False,False,False,False,False,False
True,False,True,False,False,False,3.0,10,False,False,False,False,False,False
True,False,False,False,False,False,2.5,18,False,False,False,False,False,False
True,False,True,False,False,False,3.0,3,False,False,False,False,False,False
True,False,True,False,False,False,1.5,5,False,False,False,False,False,False
True,True,False,False,False,False,2.0,15,False,False,False,False,False,False
True,False,True,False,True,False,3.5,227,False,False,True,False,True,False
True,True,True,False,True,False,4.0,366,False,False,False,False,False,False
True,False,False,False,False,False,3.0,65,False,False,False,False,False,False
True,False,False,False,False,False,2.5,3,False,False,False,False,False,False
True,False,True,False,False,False,2.5,12,False,False,False,False,False,False
True,False,True,False,False,False,2.5,12,False,False,False,False,False,False
True,False,True,False,False,False,3.0,28,False,False,False,False,False,False
True,False,False,False,False,False,2.5,4,True,False,False,False,False,False
True,False,False,False,False,False,3.5,3,False,False,False,False,False,False
True,True,True,False,False,False,1.5,17,False,False,False,False,False,False
True,True,True,False,False,False,2.0,11,False,False,False,False,False,False
True,False,False,False,False,False,2.5,6,False,False,False,False,False,False
False,False,False,False,False,False,3.5,14,False,False,False,False,False,False
True,False,False,False,False,False,1.5,5,False,False,False,False,False,False
True,False,False,False,False,False,2.0,4,False,False,False,False,False,False
True,False,False,False,False,False,3.0,7,False,False,False,False,False,False
False,True,True,False,False,False,2.5,14,False,False,False,False,False,False
True,False,True,False,False,False,2.0,5,False,False,False,False,False,False
True,True,False,False,False,False,3.5,49,False,False,False,False,False,False
True,False,False,False,False,False,4.5,3,False,False,False,False,False,False
True,False,True,False,False,False,3.5,3,False,False,False,False,False,False
True,False,False,False,False,False,3.5,10,False,False,False,False,False,False
True,False,False,False,False,False,2.5,30,False,False,False,False,False,False
True,False,False,False,False,False,2.5,19,False,False,False,False,False,False
False,False,False,False,False,False,4.0,4,False,False,False,False,False,False
True,False,True,False,True,False,2.5,28,False,False,False,False,False,False
True,True,True,False,True,False,2.0,10,False,False,False,False,False,False
True,False,False,False,False,False,2.5,3,False,False,False,False,False,False
True,False,True,False,False,False,3.0,14,False,False,True,False,True,False
True,False,True,False,True,False,2.0,33,False,False,False,False,False,False
True,True,True,False,False,False,4.0,19,False,False,False,False,False,False
True,False,True,False,False,False,4.0,6,False,False,False,False,False,False
True,True,False,False,False,False,3.0,20,False,False,False,False,False,False
True,False,True,False,True,False,3.5,55,False,False,True,False,True,False
True,True,True,False,False,False,3.0,12,False,False,False,False,False,False
True,True,True,False,True,False,2.5,36,False,False,False,False,False,False
True,True,True,False,True,False,2.5,14,False,False,False,True,True,False
True,False,True,False,False,False,4.0,1066,True,False,False,False,False,False
True,True,False,False,False,False,2.5,55,False,False,False,False,False,False
True,False,True,False,False,False,1.5,5,False,False,False,False,False,False
True,False,False,False,False,False,4.0,4,False,False,False,False,False,False
True,False,True,False,False,False,1.5,7,False,False,False,False,False,False
True,False,False,False,False,False,3.5,40,False,False,False,False,False,False
True,False,True,False,False,False,4.5,19,False,False,False,False,False,False
True,False,True,False,False,False,1.5,27,False,False,False,False,False,False
True,True,True,False,False,False,3.5,37,False,False,True,False,True,False
True,False,True,False,False,False,2.0,19,False,False,False,False,False,False
True,False,False,False,False,False,3.0,3,False,False,False,False,False,False
True,True,True,False,False,False,2.0,4,False,False,True,False,False,False
True,False,False,False,False,False,3.5,9,False,False,False,False,False,False
True,False,True,False,False,False,2.0,3,False,False,True,False,False,False
True,True,True,False,False,False,2.0,16,False,False,False,False,False,False
True,True,True,False,True,False,2.0,36,False,False,False,True,True,False
True,True,True,False,True,False,3.5,31,False,False,True,True,False,False
True,False,True,False,False,False,2.5,16,False,False,False,False,False,False
True,False,True,False,False,False,3.5,109,False,False,False,False,False,False
True,False,True,False,False,False,2.5,16,False,False,False,False,False,False
True,True,False,False,False,False,4.0,23,False,False,False,False,False,False
True,True,True,False,False,False,4.5,94,False,False,False,False,False,False
False,False,False,False,False,False,4.5,10,False,False,False,False,False,False
True,True,True,False,False,False,4.0,58,False,False,True,False,True,False
True,False,True,False,False,False,2.0,4,False,False,False,False,False,False
True,False,True,False,False,False,1.0,13,False,False,False,False,False,False
True,False,False,False,False,False,4.0,213,False,False,False,False,False,False
True,False,False,False,False,False,1.5,4,False,False,False,False,False,False
True,True,True,False,True,False,1.5,15,False,False,False,True,True,False
True,False,False,False,False,False,3.5,7,False,False,False,False,False,False
True,False,True,False,False,False,3.0,85,False,False,False,False,False,False
True,False,True,False,True,False,2.0,12,False,False,False,True,True,False
True,False,True,False,False,False,2.5,153,False,False,False,False,False,False
True,True,True,False,False,False,2.0,24,False,False,False,False,False,False
True,False,True,False,False,False,2.5,17,False,True,True,True,False,False
True,False,False,False,False,False,4.0,11,False,False,False,False,False,False
False,False,False,False,False,False,4.0,4,False,False,False,False,False,False
True,False,False,False,False,False,3.0,6,False,False,False,False,False,False
True,False,False,False,False,False,2.5,13,False,False,False,False,False,False
True,False,False,False,False,False,2.5,5,False,False,False,False,False,False
True,True,False,False,False,False,2.0,4,False,False,False,False,False,False
True,False,False,False,False,False,3.5,8,False,False,False,False,False,False
True,False,True,False,False,False,2.5,11,False,False,False,False,False,False
False,False,False,False,False,False,1.5,3,False,False,False,False,False,False
True,True,True,False,False,False,2.0,5,False,False,False,False,False,False
True,False,False,False,False,False,2.0,14,False,False,False,False,False,False
True,False,False,False,False,False,3.0,7,False,False,False,False,False,False
True,False,False,False,False,False,2.5,10,False,False,False,False,False,False
True,False,True,False,False,False,2.0,4,False,False,False,False,False,False
True,False,False,False,True,False,3.5,3,False,False,False,False,False,False
True,False,True,False,False,False,1.5,28,False,False,False,False,False,False
True,True,True,False,True,False,3.0,9,False,False,True,True,False,False
True,True,True,False,False,False,4.0,55,False,False,False,False,False,False
True,False,False,False,False,False,3.0,8,False,False,False,False,False,False
True,False,True,False,False,False,2.5,12,False,False,False,False,False,False
True,True,False,False,False,False,2.5,3,False,False,False,False,False,False
True,True,True,False,False,False,3.0,13,False,False,False,False,False,False
True,False,True,False,False,False,1.5,58,False,False,False,False,False,False
True,True,True,False,False,False,1.5,3,False,False,False,False,False,False
True,False,False,False,False,False,1.0,4,False,False,False,False,False,False
True,False,False,False,False,False,3.0,3,False,False,False,False,False,False
True,False,True,False,False,False,3.0,11,False,False,False,False,False,False
True,False,False,False,False,False,2.5,5,False,False,False,False,False,False
True,False,False,False,False,False,2.5,8,False,False,False,False,False,False
True,False,False,False,False,False,1.0,4,False,False,False,False,False,False
True,False,False,False,False,False,3.0,17,False,False,False,False,False,False
True,False,True,False,False,False,3.0,25,False,False,False,False,False,False
True,False,False,False,False,False,2.0,25,False,False,False,False,False,False
True,True,True,False,False,False,3.0,10,False,False,False,False,False,False
True,False,False,False,False,False,2.0,5,False,False,False,False,False,False
True,False,True,False,True,False,1.5,31,False,False,False,True,True,False
True,True,True,False,False,False,2.5,25,False,False,True,False,False,False
True,True,True,False,False,False,3.0,15,True,False,True,False,False,False
True,True,True,False,False,False,3.0,4,False,False,True,False,False,False
True,False,True,False,True,False,2.5,19,False,False,False,False,False,False
True,False,True,False,False,False,3.5,17,False,False,True,False,False,False
True,False,True,False,False,False,1.0,17,False,False,False,False,False,False
True,False,True,False,False,False,2.5,6,False,False,False,False,False,False
True,False,False,False,False,False,4.0,4,False,False,False,False,False,False
True,False,False,False,False,False,1.5,4,False,False,False,False,False,False
True,False,False,False,False,False,3.5,33,False,False,False,False,False,False
True,False,False,False,False,False,3.0,6,False,False,False,False,False,False
True,False,False,False,False,False,2.5,9,False,False,False,False,False,False
True,False,True,False,False,False,4.0,32,False,False,False,False,False,False
True,False,False,False,False,False,4.5,3,False,False,False,False,False,False
True,True,True,False,False,False,1.5,8,False,False,False,False,False,False
True,False,False,False,False,False,3.0,6,False,False,False,False,False,False
True,True,False,False,False,False,3.0,3,False,False,False,False,False,False
True,False,False,False,False,False,2.0,4,False,False,False,False,False,False
True,False,False,False,True,False,4.0,4,False,False,False,False,False,False
True,False,False,False,False,False,3.0,7,False,False,False,False,False,False
True,False,False,False,False,False,3.5,3,False,False,False,False,False,False
True,False,True,False,False,True,3.5,10,False,False,False,False,False,False
True,True,False,False,False,False,5.0,12,False,False,False,False,False,False
True,True,True,False,False,False,2.5,13,True,False,True,False,False,False
True,False,True,False,False,False,1.5,14,False,False,False,False,False,False
True,False,True,False,False,False,2.0,7,False,False,False,False,False,False
True,False,False,False,False,False,2.5,3,False,False,False,False,False,False
True,False,False,False,False,False,4.0,3,False,False,False,False,False,False
True,True,True,False,False,False,2.0,29,False,False,False,False,False,False
True,False,False,False,False,False,2.0,4,False,False,False,False,False,False
False,False,False,False,False,False,3.0,4,False,False,False,False,False,False
True,True,True,False,False,False,3.5,28,True,False,False,False,False,False
True,False,False,False,False,False,3.5,9,False,False,False,False,False,False
False,False,False,False,False,False,2.5,4,False,False,False,False,False,False
True,False,False,False,False,False,2.5,3,False,False,False,False,False,False
True,False,True,False,False,False,2.0,30,True,False,False,False,False,False
True,False,False,False,False,False,2.5,5,False,False,False,False,False,False
True,True,True,False,False,False,2.5,13,False,False,False,False,False,False
True,False,False,False,False,False,3.0,7,False,False,False,False,False,False
True,False,False,False,False,False,3.5,16,False,False,False,False,False,False
True,False,False,False,False,False,3.5,5,False,False,False,False,False,False
True,False,False,False,False,False,4.0,10,False,False,False,False,False,False
True,True,True,False,False,False,2.5,7,False,False,True,False,False,False
False,True,True,False,False,False,2.0,9,False,False,False,False,False,False
True,False,False,False,False,False,3.0,4,False,False,False,False,False,False
True,True,True,False,False,False,2.0,4,False,False,True,False,False,False
True,False,False,False,False,False,4.0,3,False,False,False,False,False,False
True,False,True,False,False,False,1.5,19,False,False,False,False,False,False
True,False,True,False,False,False,3.0,19,False,False,False,False,False,False
True,True,True,False,True,False,3.0,27,False,False,True,True,False,False
True,True,True,False,False,False,4.0,128,False,False,False,False,False,False
True,True,False,False,False,False,2.0,26,False,False,False,False,False,False
True,True,False,False,False,False,3.5,14,False,False,False,False,False,False
False,False,False,False,False,False,1.5,3,False,False,False,False,False,False
True,False,True,False,False,False,1.0,8,False,False,False,False,False,False
True,True,False,False,False,False,2.5,17,False,False,False,False,False,False
True,False,False,False,False,False,3.5,62,False,False,False,False,False,False
True,True,False,False,False,False,4.0,83,False,False,False,False,False,False
True,True,False,False,False,False,1.5,52,False,False,False,False,False,False
True,False,True,False,True,False,2.5,81,False,False,False,False,False,False
True,True,True,False,True,False,4.0,130,False,False,False,False,False,False
True,False,False,False,False,False,2.5,3,False,False,False,False,False,False
True,False,False,False,False,False,2.0,5,False,False,False,False,False,False
True,True,True,False,False,False,1.5,7,False,False,False,False,False,False
True,True,True,False,True,False,3.0,7,False,False,False,False,False,False
True,True,False,False,False,False,3.0,17,False,False,False,False,False,False
True,True,True,False,False,False,3.5,41,False,False,False,False,False,False
True,True,True,False,True,False,4.5,6,False,False,False,True,True,False
True,False,True,False,True,False,3.0,57,False,False,True,True,False,False
True,False,True,False,False,False,3.0,44,False,False,False,False,False,False
True,False,False,False,False,False,4.5,8,False,False,False,False,False,False
True,False,False,False,False,False,4.0,3,False,False,False,False,False,False
True,True,True,False,False,False,4.0,23,False,False,True,False,False,False
False,False,False,False,False,False,4.5,3,False,False,False,False,False,False
True,False,True,False,False,False,4.0,11,False,False,False,False,False,False
True,True,False,False,False,False,4.5,3,False,False,False,False,False,False
True,False,False,False,False,False,3.0,5,False,False,False,False,False,False
True,False,True,False,False,False,1.5,27,False,False,False,False,False,False
True,False,False,False,False,False,3.0,9,False,False,False,False,False,False
True,False,True,False,True,False,2.5,41,False,False,True,False,True,False
True,False,False,False,False,False,1.0,5,False,False,False,False,False,False
True,False,True,False,False,False,2.5,3,False,False,False,False,False,False
True,False,False,False,False,False,3.5,16,False,False,False,False,False,False
True,False,True,False,False,False,2.5,12,False,False,False,False,False,False
True,False,True,False,False,False,4.0,8,False,False,False,False,False,False
True,True,True,False,False,False,1.0,37,False,False,False,False,False,False
True,True,False,False,False,False,4.0,4,False,False,False,False,False,False
True,False,False,False,False,False,4.5,28,False,False,False,False,False,False
True,False,False,False,True,False,4.5,27,False,False,False,False,False,False
True,False,True,False,False,False,3.0,9,False,False,False,False,False,False
True,True,True,False,False,False,3.5,10,False,False,False,False,False,False
True,True,True,False,True,False,3.0,42,False,False,True,True,True,False
True,True,True,False,True,False,2.5,14,False,False,False,True,True,False
True,False,True,False,False,False,3.0,34,False,False,False,False,False,False
True,True,True,False,False,False,3.5,6,False,False,True,False,True,False
True,True,False,False,False,False,2.5,13,False,False,False,False,False,False
True,False,False,False,False,False,3.5,64,True,False,False,False,False,False
True,True,False,False,False,False,4.0,95,False,False,False,False,False,False
True,False,False,False,False,False,4.0,11,True,False,False,False,False,False
True,False,False,False,False,False,2.0,6,False,False,False,False,False,False
True,False,False,False,False,False,2.5,20,False,False,False,False,False,False
True,True,True,False,False,False,3.0,7,False,False,True,False,False,False
True,True,True,False,False,False,4.0,5,False,False,False,False,False,False
True,True,True,False,False,False,1.5,3,False,False,True,False,False,False
False,False,False,False,False,False,4.0,6,False,False,False,False,False,False
True,False,True,False,False,False,1.5,27,False,False,False,False,False,False
True,False,True,False,False,False,3.5,11,False,False,False,False,False,False
True,False,True,False,False,False,2.5,4,False,False,True,False,False,False
True,True,True,False,True,False,2.5,68,False,False,True,False,True,False
True,False,False,False,False,False,2.0,21,False,False,False,False,False,False
False,True,False,False,False,False,2.5,9,False,False,False,False,False,False
True,True,False,False,False,False,2.5,6,False,False,False,False,False,False
True,False,False,False,False,False,4.0,7,False,False,False,False,False,False
True,True,True,False,False,False,2.0,34,False,False,False,False,False,False
True,True,True,False,True,False,4.0,45,False,False,True,False,True,False
True,False,False,False,False,False,4.5,114,False,False,False,False,False,False
True,True,True,False,False,False,2.5,7,False,False,True,False,False,False
True,True,False,False,False,False,3.0,5,False,False,False,False,False,False
True,True,True,False,False,False,2.5,27,False,False,False,False,False,False
True,False,True,False,False,False,3.0,30,False,False,False,False,False,False
True,True,True,False,True,False,3.0,5,False,False,False,True,True,False
True,False,True,False,False,False,3.5,3,False,False,False,False,False,False
True,False,True,False,False,False,2.0,15,False,False,False,False,False,False
True,True,True,False,True,False,2.0,46,False,False,False,True,True,False
True,False,True,False,False,False,3.0,8,False,False,False,False,False,False
True,False,True,False,False,False,1.5,10,False,False,False,False,False,False
True,False,True,False,True,False,3.0,39,False,False,True,False,True,False
True,False,True,False,True,False,3.5,80,False,False,False,False,False,False
True,False,True,False,False,False,3.5,43,False,False,False,False,False,False
True,False,True,False,False,False,3.5,3,False,False,False,False,False,False
True,False,False,False,False,False,3.0,41,False,False,False,False,False,False
True,True,False,False,False,False,3.5,3,False,False,False,False,False,False
True,False,False,False,False,False,1.0,4,False,False,False,False,False,False
True,False,True,False,False,False,3.5,3,False,False,False,False,False,False
True,False,False,False,False,False,3.0,5,False,False,False,False,False,False
True,False,False,False,False,False,3.5,3,False,False,False,False,False,False
True,False,True,False,False,False,2.0,51,False,False,False,False,False,False
True,False,True,False,False,False,2.0,23,False,False,False,False,False,False
True,True,True,False,True,False,3.0,11,False,False,False,True,True,False
True,True,False,False,False,False,4.0,37,False,False,False,False,False,False
True,False,True,False,False,False,2.5,3,False,False,False,False,False,False
True,False,True,False,False,False,2.0,16,False,False,False,False,False,False
True,False,True,False,False,False,2.0,10,False,False,False,False,False,False
True,False,True,False,False,False,2.5,20,False,False,False,False,False,False
True,False,False,False,False,False,4.0,4,False,False,False,False,False,False
True,True,True,False,False,False,4.5,614,False,False,False,False,False,False
True,True,True,False,True,False,3.5,9,False,False,False,False,False,False
False,False,True,False,False,False,2.0,3,False,False,False,False,False,False
True,False,False,False,False,False,3.0,3,False,False,False,False,False,False
True,False,False,False,False,False,2.5,3,False,False,False,False,False,False
True,True,True,False,False,False,3.0,6,False,False,False,False,False,False
True,False,True,False,False,False,3.0,17,False,False,False,False,False,False
True,False,False,False,False,False,1.5,4,False,False,False,False,False,False
